0: anime
1213: rock---powerballad
1214: rock---powermetal
1215: rock---powerpop
1216: rock---progressivemetal
1217: rock---progressiverock
1218: rock---progrock
1219: rock---protopunk
1220: rock---psychedelicpop
1221: rock---psychedelicrock
1222: rock---psychobilly
1223: rock---pubrock
1224: rock---punk
1225: rock---rapcore
1226: rock---rockabilly
1227: rock---rockabillysoul
1228: rock---rockballad
1229: rock---rocknroll
1230: rock---rockroll
1231: rock---russianrock
1232: rock---shoegaze
1233: rock---singersongwriter
1234: rock---sludgemetal
1235: rock---softrock
1236: rock---southernrock
1237: rock---spacerock
1238: rock---speedmetal
1239: rock---stoner
1240: rock---stonermetal
1241: rock---stonerrock
1242: rock---streetpunk
1243: rock---surf
1244: rock---surfrock
1245: rock---symphonicprog
1246: rock---symphonicrock
1247: rock---thrash
1248: rock---vikingmetal
1249: rockpop
1250: rockpop---adultalternativepop
1251: rockpop---adultalternativerock
1252: rockpop---adultcontemporary
1253: rockpop---alternative
1254: rockpop---alternativefolk
1255: rockpop---alternativemetal
1256: rockpop---alternativepop
1257: rockpop---alternativerock
1258: rockpop---alternativeroots
1259: rockpop---alternativesingersongwriter
1260: rockpop---americantraditionalrock
1261: rockpop---aor
1262: rockpop---artrock
1263: rockpop---ballad
1264: rockpop---bluesrock
1265: rockpop---britishinvasion
1266: rockpop---britpop
1267: rockpop---celticrock
1268: rockpop---christianalternative
1269: rockpop---classicpopvocals
1270: rockpop---classicrock
1271: rockpop---countryrock
1272: rockpop---crossover
1273: rockpop---dancepop
1274: rockpop---deathcore
1275: rockpop---deathmetal
1276: rockpop---doommetal
1277: rockpop---dreampop
1278: rockpop---emo
1279: rockpop---europeanpop
1280: rockpop---experimentalrock
1281: rockpop---extrememetal
1282: rockpop---folkmetal
1283: rockpop---folkrock
1284: rockpop---frenchpop
1285: rockpop---funkmetal
1286: rockpop---funkrock
1287: rockpop---garagerock
1288: rockpop---glamrock
1289: rockpop---gothicmetal
1290: rockpop---gothicrock
1291: rockpop---grunge
1292: rockpop---hardcorepunk
1293: rockpop---hardrock
1294: rockpop---heavymetal
1295: rockpop---indie
1296: rockpop---indiefolk
1297: rockpop---indiepop
1298: rockpop---indierock
1299: rockpop---instrumentalrock
1300: rockpop---jazzrock
1301: rockpop---mainstreamrock
1302: rockpop---melodicdeathmetal
1303: rockpop---metal
1304: rockpop---metalcore
1305: rockpop---newwave
1306: rockpop---noiserock
1307: rockpop---numetal
1308: rockpop---oldie
1309: rockpop---oldschoolpunk
1310: rockpop---pop
1311: rockpop---popfolk
1312: rockpop---popmetal
1313: rockpop---poppunk
1314: rockpop---poprock
1315: rockpop---popsoul
1316: rockpop---posthardcore
1317: rockpop---postmodernelectronicpop
1318: rockpop---postpunk
1319: rockpop---postrock
1320: rockpop---powermetal
1321: rockpop---powerpop
1322: rockpop---progressivemetal
1323: rockpop---progressiverock
1324: rockpop---psychedelicrock
1325: rockpop---psytrance
1326: rockpop---punk
1327: rockpop---punkrock
1328: rockpop---retrorockrevival
1329: rockpop---rockabilly
1330: rockpop---rocknroll
1331: rockpop---rocksingersongwriter
1332: rockpop---rootsrock
1333: rockpop---shoegaze
1334: rockpop---singersongwriter
1335: rockpop---slowrock
1336: rockpop---softrock
1337: rockpop---southernrock
1338: rockpop---space
1339: rockpop---stonerrock
1340: rockpop---surfrock
1341: rockpop---symphonicmetal
1342: rockpop---symphonicrock
1343: rockpop---teenpop
1344: rockpop---thrashmetal
1345: rockpop---vocalpop
1346: soul
1347: soul---classicsoul
1348: soul---funk
1349: soul---jazzfunk
1350: soul---motown
1351: soul---neosoul
1352: soul---northernsoul
1353: soul---nusoul
1354: soul---oldschoolsoul
1355: soul---rnb
1356: soul---smoothsoul
1357: soul---soulfunk
1358: soul---southernsoul
1359: soul---urban
1360: soundtrack
1361: soundtrack---animation
1362: soundtrack---broadway
1363: soundtrack---filmsoundtrack
1364: soundtrack---moviesoundtrack
1365: soundtrack---musical
1366: soundtrack---orchestral
1367: soundtrack---ost
1368: soundtrack---score
1369: soundtrack---showtunes
1370: soundtrack---stagemusicals
1371: soundtrack---tvsoundtrack
1372: spoken
1373: spoken---books
1374: stagescreen
1375: stagescreen---blaxploitation
1376: stagescreen---castrecordings
1377: stagescreen---filmmusic
1378: stagescreen---moviethemes
1379: stagescreen---musical
1380: stagescreen---musicals
1381: stagescreen---musicaltheater
1382: stagescreen---originalscore
1383: stagescreen---score
1384: stagescreen---showtunes
1385: stagescreen---soundeffects
1386: stagescreen---soundtrack
1387: stagescreen---soundtracks
1388: stagescreen---spymusic
1389: stagescreen---televisionmusic
1390: stagescreen---theme
1391: stagescreen---tvmusic
1392: stagescreen---tvsoundtracks
1393: stagescreen---videogamemusic
1394: techno
1395: techno---minimal
1396: trance
1397: trance---dancetrance
1398: trance---progressivetrance
1399: trance---vocaltrance
1400: vocal
1401: vocal---acappella
1402: vocal---americanpopularsong
1403: vocal---cabaret
1404: vocal---earlyjazzvocals
1405: vocal---harmonyvocalgroup
1406: vocal---modernjazzvocals
1407: vocal---musichall
1408: vocal---tinpanalleypop
1409: vocal---torchsongs
1410: vocal---traditionalpop
1411: vocal---vocalese
1412: vocal---vocaljazz
1413: vocal---vocalpop
1414: world
1415: world---african
1416: world---afrobeat
1417: world---ethnic
1418: world---hawaiian
1419: world---indian
1420: world---middleeastern
1421: world---nationalmusic
1422: world---traditional
1423: world---worldfusion
